long,lat,group,order,region,subregion
-62.2141571,-22.61240196,20,1246,Argentina,NA
-62.06659698,-22.86943436,20,1247,Argentina,NA
-61.92802811,-23.05927658,20,1248,Argentina,NA
-61.79853439,-23.18203163,20,1249,Argentina,NA
-61.67948914,-23.26875114,20,1250,Argentina,NA
-61.57099152,-23.31943321,20,1251,Argentina,NA
-61.51303864,-23.36044884,20,1252,Argentina,NA
-61.50551987,-23.39199257,20,1253,Argentina,NA
-61.40395355,-23.45751953,20,1254,Argentina,NA
-61.20839691,-23.55703163,20,1255,Argentina,NA
-61.0847168,-23.65644646,20,1256,Argentina,NA
-61.03290939,-23.75566483,20,1257,Argentina,NA
-60.83983994,-23.85810471,20,1258,Argentina,NA
-60.50537491,-23.96357346,20,1259,Argentina,NA
-60.26220703,-24.01396561,20,1260,Argentina,NA
-60.11030197,-24.00918007,20,1261,Argentina,NA
-59.89247894,-24.09355545,20,1262,Argentina,NA
-59.60858917,-24.26679611,20,1263,Argentina,NA
-59.4353981,-24.38701057,20,1264,Argentina,NA
-59.37294769,-24.45390511,20,1265,Argentina,NA
-59.18725586,-24.56230545,20,1266,Argentina,NA
-58.72402573,-24.78662109,20,1267,Argentina,NA
-58.51962662,-24.84287071,20,1268,Argentina,NA
-58.42280197,-24.89414024,20,1269,Argentina,NA
-58.36537933,-24.9592762,20,1270,Argentina,NA
-58.30868912,-24.97910118,20,1271,Argentina,NA
-58.25278473,-24.95380974,20,1272,Argentina,NA
-58.13647461,-24.97714806,20,1273,Argentina,NA
-57.95981598,-25.04921913,20,1274,Argentina,NA
-57.82167816,-25.13642693,20,1275,Argentina,NA
-57.6438942,-25.32841873,20,1276,Argentina,NA
-57.58715439,-25.40507889,20,1277,Argentina,NA
-57.56313324,-25.47373009,20,1278,Argentina,NA
-57.57167816,-25.53418159,20,1279,Argentina,NA
-57.62582779,-25.59873199,20,1280,Argentina,NA
-57.72548676,-25.66718674,20,1281,Argentina,NA
-57.75478363,-25.69707108,20,1282,Argentina,NA
-57.75707626,-25.72597504,20,1283,Argentina,NA
-57.7824707,-25.78369141,20,1284,Argentina,NA
-57.86523438,-25.90693283,20,1285,Argentina,NA
-57.88623047,-25.96425629,20,1286,Argentina,NA
-57.89062881,-26.00654221,20,1287,Argentina,NA
-57.94311905,-26.05293083,20,1288,Argentina,NA
-58.08242035,-26.1385746,20,1289,Argentina,NA
-58.11113358,-26.18017578,20,1290,Argentina,NA
-58.11806488,-26.22490311,20,1291,Argentina,NA
-58.13564682,-26.25146484,20,1292,Argentina,NA
-58.15468979,-26.26259804,20,1293,Argentina,NA
-58.18149185,-26.30742073,20,1294,Argentina,NA
-58.20302582,-26.38144493,20,1295,Argentina,NA
-58.20517731,-26.4765625,20,1296,Argentina,NA
-58.18793869,-26.59257889,20,1297,Argentina,NA
-58.19130707,-26.62998009,20,1298,Argentina,NA
-58.22206879,-26.64999962,20,1299,Argentina,NA
-58.23935699,-26.67685509,20,1300,Argentina,NA
-58.24555969,-26.73105431,20,1301,Argentina,NA
-58.27167511,-26.77070236,20,1302,Argentina,NA
-58.31767654,-26.79589844,20,1303,Argentina,NA
-58.33466339,-26.82490158,20,1304,Argentina,NA
-58.32256317,-26.85761642,20,1305,Argentina,NA
-58.35644531,-26.89003944,20,1306,Argentina,NA
-58.43632507,-26.92197227,20,1307,Argentina,NA
-58.4852562,-26.96845818,20,1308,Argentina,NA
-58.5032196,-27.02949142,20,1309,Argentina,NA
-58.5477066,-27.08398438,20,1310,Argentina,NA
-58.61860275,-27.13212967,20,1311,Argentina,NA
-58.64175034,-27.19609451,20,1312,Argentina,NA
-58.6048317,-27.31435585,20,1313,Argentina,NA
-58.16826248,-27.2734375,20,1314,Argentina,NA
-57.81221008,-27.31660271,20,1315,Argentina,NA
-57.39125824,-27.43046761,20,1316,Argentina,NA
-57.11181641,-27.47011757,20,1317,Argentina,NA
-56.97397614,-27.43574142,20,1318,Argentina,NA
-56.87172699,-27.44062424,20,1319,Argentina,NA
-56.80517578,-27.48466682,20,1320,Argentina,NA
-56.71572113,-27.49374962,20,1321,Argentina,NA
-56.60337067,-27.46787071,20,1322,Argentina,NA
-56.51054764,-27.48789215,20,1323,Argentina,NA
-56.43715668,-27.55380821,20,1324,Argentina,NA
-56.37050629,-27.5374012,20,1325,Argentina,NA
-56.31054688,-27.43876839,20,1326,Argentina,NA
-56.24169922,-27.36679649,20,1327,Argentina,NA
-56.1640625,-27.32148361,20,1328,Argentina,NA
-56.06733322,-27.30771446,20,1329,Argentina,NA
-55.95146561,-27.32568359,20,1330,Argentina,NA
-55.85903168,-27.36191368,20,1331,Argentina,NA
-55.78998947,-27.41640663,20,1332,Argentina,NA
-55.7146492,-27.41484451,20,1333,Argentina,NA
-55.63290787,-27.35713005,20,1334,Argentina,NA
-55.59379959,-27.28808594,20,1335,Argentina,NA
-55.59726334,-27.20761681,20,1336,Argentina,NA
-55.56489182,-27.14999962,20,1337,Argentina,NA
-55.49672699,-27.11533165,20,1338,Argentina,NA
-55.450634,-27.06835938,20,1339,Argentina,NA
-55.42666245,-27.00927734,20,1340,Argentina,NA
-55.34580231,-26.97314453,20,1341,Argentina,NA
-55.20800781,-26.96015739,20,1342,Argentina,NA
-55.13593674,-26.93115234,20,1343,Argentina,NA
-55.12963867,-26.88603592,20,1344,Argentina,NA
-55.08886719,-26.84453201,20,1345,Argentina,NA
-55.01362228,-26.80664063,20,1346,Argentina,NA
-54.9621582,-26.75937462,20,1347,Argentina,NA
-54.93447495,-26.70253944,20,1348,Argentina,NA
-54.88891602,-26.66679764,20,1349,Argentina,NA
-54.82548904,-26.65224648,20,1350,Argentina,NA
-54.75507736,-26.53290939,20,1351,Argentina,NA
-54.67773438,-26.3087883,20,1352,Argentina,NA
-54.63193512,-26.0057621,20,1353,Argentina,NA
-54.61586761,-25.5760746,20,1354,Argentina,NA
-54.5378418,-25.57646561,20,1355,Argentina,NA
-54.50151443,-25.60829926,20,1356,Argentina,NA
-54.44394684,-25.625,20,1357,Argentina,NA
-54.38335037,-25.58867264,20,1358,Argentina,NA
-54.33188248,-25.57187462,20,1359,Argentina,NA
-54.25009918,-25.57040977,20,1360,Argentina,NA
-54.20615387,-25.5295887,20,1361,Argentina,NA
-54.15459061,-25.5230484,20,1362,Argentina,NA
-54.11923981,-25.54521561,20,1363,Argentina,NA
-54.08501053,-25.57187462,20,1364,Argentina,NA
-54.01230621,-25.57793045,20,1365,Argentina,NA
-53.95478439,-25.64765549,20,1366,Argentina,NA
-53.89116287,-25.66884804,20,1367,Argentina,NA
-53.86421204,-25.74882698,20,1368,Argentina,NA
-53.82324219,-25.95956993,20,1369,Argentina,NA
-53.74692154,-26.08369255,20,1370,Argentina,NA
-53.67128754,-26.22509766,20,1371,Argentina,NA
-53.6685524,-26.28818321,20,1372,Argentina,NA
-53.7109375,-26.35185432,20,1373,Argentina,NA
-53.71816254,-26.44316483,20,1374,Argentina,NA
-53.74457932,-26.66650391,20,1375,Argentina,NA
-53.75331879,-26.74863243,20,1376,Argentina,NA
-53.72714996,-26.8046875,20,1377,Argentina,NA
-53.71728516,-26.8828125,20,1378,Argentina,NA
-53.75849533,-26.97831917,20,1379,Argentina,NA
-53.83818436,-27.12109375,20,1380,Argentina,NA
-53.91562653,-27.15957069,20,1381,Argentina,NA
-53.93534851,-27.16113281,20,1382,Argentina,NA
-54.04013443,-27.24374962,20,1383,Argentina,NA
-54.11381912,-27.27470779,20,1384,Argentina,NA
-54.15644455,-27.25380898,20,1385,Argentina,NA
-54.20522308,-27.28964806,20,1386,Argentina,NA
-54.26015472,-27.38203239,20,1387,Argentina,NA
-54.32700348,-27.4235363,20,1388,Argentina,NA
-54.44814301,-27.44648552,20,1389,Argentina,NA
-54.48432541,-27.45732498,20,1390,Argentina,NA
-54.55493164,-27.45410156,20,1391,Argentina,NA
-54.61542892,-27.47714996,20,1392,Argentina,NA
-54.66587067,-27.52656174,20,1393,Argentina,NA
-54.71972656,-27.54492188,20,1394,Argentina,NA
-54.77709961,-27.53252029,20,1395,Argentina,NA
-54.82910156,-27.55058479,20,1396,Argentina,NA
-54.87573242,-27.59921837,20,1397,Argentina,NA
-54.90278625,-27.65195274,20,1398,Argentina,NA
-54.91020584,-27.70859337,20,1399,Argentina,NA
-54.95590591,-27.74716949,20,1400,Argentina,NA
-55.0399437,-27.76777458,20,1401,Argentina,NA
-55.06899261,-27.79628754,20,1402,Argentina,NA
-55.06386948,-27.8359375,20,1403,Argentina,NA
-55.10151291,-27.8667984,20,1404,Argentina,NA
-55.24375153,-27.89882851,20,1405,Argentina,NA
-55.34648514,-27.95595741,20,1406,Argentina,NA
-55.40981293,-28.03779411,20,1407,Argentina,NA
-55.47666168,-28.08935547,20,1408,Argentina,NA
-55.58237076,-28.12099457,20,1409,Argentina,NA
-55.72548676,-28.20410156,20,1410,Argentina,NA
-55.74599457,-28.25546837,20,1411,Argentina,NA
-55.69150543,-28.30283165,20,1412,Argentina,NA
-55.67197418,-28.34492111,20,1413,Argentina,NA
-55.68725586,-28.38164139,20,1414,Argentina,NA
-55.73198318,-28.38662148,20,1415,Argentina,NA
-55.80605316,-28.35976601,20,1416,Argentina,NA
-55.85888672,-28.35419846,20,1417,Argentina,NA
-55.89052582,-28.37001801,20,1418,Argentina,NA
-55.9054184,-28.39960861,20,1419,Argentina,NA
-55.90365982,-28.4432621,20,1420,Argentina,NA
-55.93017578,-28.47285271,20,1421,Argentina,NA
-55.98491287,-28.48857307,20,1422,Argentina,NA
-56.01963043,-28.52461052,20,1423,Argentina,NA
-56.03422928,-28.58086014,20,1424,Argentina,NA
-56.10287857,-28.65175819,20,1425,Argentina,NA
-56.22553635,-28.73720741,20,1426,Argentina,NA
-56.32236481,-28.85243988,20,1427,Argentina,NA
-56.39326096,-28.99726486,20,1428,Argentina,NA
-56.47597504,-29.09247971,20,1429,Argentina,NA
-56.57070541,-29.13808632,20,1430,Argentina,NA
-56.63584137,-29.20302773,20,1431,Argentina,NA
-56.67153549,-29.28730392,20,1432,Argentina,NA
-56.77246094,-29.41787148,20,1433,Argentina,NA
-56.93862152,-29.59482384,20,1434,Argentina,NA
-57.08935547,-29.71620941,20,1435,Argentina,NA
-57.22465515,-29.78212738,20,1436,Argentina,NA
-57.30068207,-29.85654259,20,1437,Argentina,NA
-57.31747818,-29.93945503,20,1438,Argentina,NA
-57.40522766,-30.03388596,20,1439,Argentina,NA
-57.56386566,-30.13994026,20,1440,Argentina,NA
-57.60889053,-30.18779373,20,1441,Argentina,NA
-57.64575195,-30.22695351,20,1442,Argentina,NA
-57.65088272,-30.29502106,20,1443,Argentina,NA
-57.71269608,-30.38447189,20,1444,Argentina,NA
-57.83119965,-30.49521255,20,1445,Argentina,NA
-57.87250519,-30.59101295,20,1446,Argentina,NA
-57.81855392,-30.71201134,20,1447,Argentina,NA
-57.81059647,-30.85859299,20,1448,Argentina,NA
-57.83407974,-30.91748047,20,1449,Argentina,NA
